kind,id,top_level,physical_pages,printed_pages,multi_page,likely_vector_only
Table,3-1,3,59,58,False,
Table,4-1,4,73,72,False,
Table,5-1,5,84,83,False,
Table,6-1,6,93,92,False,
Table,6-2,6,93,92,False,
Table,6-3,6,94,93,False,
Table,6-4,6,94,93,False,
Table,6-5,6,98,97,False,
Table,6-6,6,98,97,False,
Table,6-7,6,108,107,False,
Table,6-8,6,110,109,False,
Table,6-9,6,114;115,113;114,True,
Table,6-10,6,122,121,False,
Table,6-11,6,130,129,False,
Table,7-1,7,157;158,156;157,True,
Table,8-1,8,183,182,False,
Table,9-1,9,227,226,False,
Table,9-2,9,233,232,False,
Table,9-3,9,239,238,False,
Table,10-1,10,248,247,False,
Table,11-1,11,272,271,False,
Table,11-2,11,273,272,False,
Table,11-3,11,276,275,False,
Table,11-4,11,277,276,False,
Table,11-5,11,277;278,276;277,True,
Table,11-6,11,278,277,False,
Table,11-7,11,278,277,False,
Table,11-8,11,279,278,False,
Table,11-9,11,280,279,False,
Table,11-10,11,281,280,False,
Table,11-11,11,283,282,False,
Table,11-12,11,283,282,False,
Table,11-13,11,283,282,False,
Table,11-14,11,283,282,False,
Table,11-15,11,284,283,False,
Table,11-16,11,284,283,False,
Table,11-17,11,284,283,False,
Table,11-18,11,285,284,False,
Table,11-19,11,285,284,False,
Table,11-20,11,286,285,False,
Table,11-21,11,300;301,299;300,True,
Table,16-1,16,411,410,False,
Table,16-2,16,421,420,False,
Table,16-3,16,443,442,False,
Table,18-1,18,541,540,False,
Table,18-2,18,541;542,540;541,True,
Table,18-3,18,556,555,False,
Table,18-4,18,557,556,False,
Table,19-1,19,607,606,False,
Table,19-2,19,609,608,False,
Table,19-3,19,609;610,608;609,True,
Table,19-4,19,611,610,False,
Table,19-5,19,611;612,610;611,True,
Table,20-1,20,621,620,False,
Table,20-2,20,624,623,False,
Table,20-3,20,626,625,False,
Table,20-4,20,634,633,False,
Table,20-5,20,639,638,False,
Table,20-6,20,640,639,False,
Table,20-7,20,640,639,False,
Table,20-8,20,644,643,False,
Table,20-9,20,648,647,False,
Table,20-10,20,649,648,False,
Table,20-11,20,649,648,False,
Table,20-12,20,650,649,False,
Table,21-1,21,657,656,False,
Table,21-2,21,659,658,False,
Table,21-3,21,661;662,660;661,True,
Table,21-4,21,662,661,False,
Table,21-5,21,663,662,False,
Table,21-6,21,667,666,False,
Table,21-7,21,672;673,671;672,True,
Table,21-8,21,690,689,False,
Table,21-9,21,690;691,689;690,True,
Table,21-10,21,691,690,False,
Table,21-11,21,703;704,702;703,True,
Table,22-1,22,724,723,False,
Table,22-2,22,725,724,False,
Table,22-3,22,725,724,False,
Table,22-4,22,726,725,False,
Table,22-5,22,726,725,False,
Table,22-6,22,727,726,False,
Table,23-1,23,751,750,False,
Table,26-1,26,815,814,False,
Table,28-1,28,832,831,False,
Table,28-2,28,832,831,False,
Table,28-3,28,837,836,False,
Table,28-4,28,838,837,False,
Table,28-5,28,839,838,False,
Table,28-6,28,840,839,False,
Table,28-7,28,843,842,False,
Table,28-8,28,856,855,False,
Table,28-9,28,857;858,856;857,True,
Table,29-1,29,864;865,863;864,True,
Table,29-2,29,867,866,False,
Table,29-3,29,871,870,False,
Table,30-1,30,877,876,False,
Table,30-2,30,884,883,False,
Table,30-3,30,885,884,False,
Table,31-1,31,899,898,False,
Table,31-2,31,900,899,False,
Table,31-3,31,901,900,False,
Table,31-4,31,903,902,False,
Table,31-5,31,904,903,False,
Table,31-6,31,905,904,False,
Table,31-7,31,907,906,False,
Table,31-8,31,908,907,False,
Table,31-9,31,910,909,False,
Table,31-10,31,912,911,False,
Table,31-11,31,913,912,False,
Table,31-12,31,914,913,False,
Table,31-13,31,916,915,False,
Table,32-1,32,926,925,False,
Table,32-2,32,927,926,False,
Table,32-3,32,929,928,False,
Table,32-4,32,932,931,False,
Table,32-5,32,933,932,False,
Table,32-6,32,934,933,False,
Table,34-1,34,953,952,False,
Table,34-2,34,957,956,False,
Table,34-3,34,959,958,False,
Table,34-4,34,964,963,False,
Table,36-1,36,992,991,False,
Table,36-2,36,993,992,False,
Table,36-3,36,993,992,False,
Table,36-4,36,993,992,False,
Table,36-5,36,993,992,False,
Table,36-6,36,993,992,False,
Table,36-7,36,993,992,False,
Table,36-8,36,994,993,False,
Table,36-9,36,994,993,False,
Table,36-10,36,995,994,False,
Table,37-1,37,1073,1072,False,
Table,38-1,38,1090,1089,False,
Table,38-2,38,1097,1096,False,
Table,38-3,38,1103,1102,False,
Table,38-4,38,1124;1125,1123;1124,True,
Table,38-5,38,1135,1134,False,
